date,value
2017-08-06,15
2017-08-13,19
2017-08-20,16
2017-08-27,8
2017-09-03,5
2017-09-10,4
2017-09-17,4
2017-09-24,3
2017-10-01,4
2017-10-08,6
2017-10-15,7
2017-10-22,6
2017-10-29,12
2017-11-05,24
2017-11-12,50
2017-11-19,18
2017-11-26,20
2017-12-03,22
2017-12-10,23
2017-12-17,100
2017-12-24,23
2017-12-31,17
2018-01-07,15
2018-01-14,13
2018-01-21,8
2018-01-28,8
2018-02-04,9
2018-02-11,7
2018-02-18,7
2018-02-25,5
2018-03-04,4
2018-03-11,4
2018-03-18,3
2018-03-25,4
2018-04-01,4
2018-04-08,3
2018-04-15,6
2018-04-22,9
2018-04-29,5
2018-05-06,5
2018-05-13,5
2018-05-20,4
