date, value
2017-05-28,38
2017-06-04,44
2017-06-11,71
2017-06-18,56
2017-06-25,51
2017-07-02,33
2017-07-09,39
2017-07-16,38
2017-07-23,26
2017-07-30,25
2017-08-06,31
2017-08-13,30
2017-08-20,28
2017-08-27,33
2017-09-03,30
2017-09-10,27
2017-09-17,23
2017-09-24,19
2017-10-01,17
2017-10-08,24
2017-10-15,27
2017-10-22,22
2017-10-29,27
2017-11-05,31
2017-11-12,28
2017-11-19,43
2017-11-26,66
2017-12-03,75
2017-12-10,100
2017-12-17,86
2017-12-24,56
2017-12-31,72
2018-01-07,97
2018-01-14,77
2018-01-21,45
2018-01-28,49
2018-02-04,43
2018-02-11,29
2018-02-18,26
2018-02-25,20
2018-03-04,21
2018-03-11,20
2018-03-18,20
2018-03-25,20
2018-04-01,16
2018-04-08,15
2018-04-15,16
2018-04-22,18
2018-04-29,18
2018-05-06,20
2018-05-13,14
2018-05-20,14
